Mean,Kurtosis,Hjorth_Mobility,Hjorth_Complexity,Wavelet_Feature_1,Wavelet_Feature_2,Wavelet_Feature_3,Wavelet_Feature_4,Wavelet_Feature_5,Wavelet_Feature_6,Wavelet_Feature_7,Wavelet_Feature_8,Wavelet_Feature_9,Wavelet_Feature_10,Wavelet_Feature_11,Wavelet_Feature_12,Wavelet_Feature_13,Wavelet_Feature_14,Wavelet_Feature_15,Wavelet_Feature_16,Wavelet_Feature_17,Wavelet_Feature_18,Wavelet_Feature_19,Wavelet_Feature_20,Wavelet_Feature_21,Wavelet_Feature_22,Wavelet_Feature_23,Wavelet_Feature_24,Wavelet_Feature_25,Wavelet_Feature_26,Wavelet_Feature_27,Wavelet_Feature_28,Wavelet_Feature_29,Wavelet_Feature_30,Wavelet_Feature_31,Wavelet_Feature_32,Wavelet_Feature_33,Wavelet_Feature_34,Wavelet_Feature_35,Wavelet_Feature_36,Wavelet_Feature_37,Wavelet_Feature_38,Wavelet_Feature_39,Wavelet_Feature_40,Wavelet_Feature_41,Wavelet_Feature_42,Wavelet_Feature_43,Wavelet_Feature_44,Wavelet_Feature_45,Wavelet_Feature_46,Wavelet_Feature_47,Wavelet_Feature_48,Wavelet_Feature_49,Wavelet_Feature_50,Wavelet_Feature_51,Wavelet_Feature_52,Wavelet_Feature_53,Wavelet_Feature_54,Wavelet_Feature_55,Wavelet_Feature_56,Status
-1.38E-17,3.383718701,0.039928863,12.61929598,-0.010478904,5.606471866,26.72060602,298327.1539,35958.27243,0.977092643,0.69005924,-535.0246629,1.479799248,-0.313884854,3.456889606,0.003605359,0.627987793,4.683752373,3743.076398,4324.98805,0.012259469,0.082998925,174.1817886,1.378092164,0.226933867,4.704355238,2.906480337,0.001009808,0.369252906,2.661145867,2587.217118,5466.683739,0.008473754,0.1049087,365.6665208,1.281686343,0.100783744,0.877547538,3.570341302,-0.000285077,0.118076103,1.13080141,529.0031069,3438.686536,0.001732611,0.065990306,-414.1901872,1.302870019,-0.210476153,4.510600551,3.542228027,1.00E-07,0.041474786,0.694869928,130.5255786,2329.748608,0.000427502,0.044709171,413180.5938,1.350835339,epilepsy
-7.99E-17,3.612966795,0.044787248,12.41335233,-0.002211111,5.58890479,34.80218106,305736.6137,39673.47112,0.976566734,0.690853317,-2527.646033,1.37886095,1.134243854,3.726387186,0.00735974,0.599168689,3.876627316,3514.452698,4337.637332,0.011225668,0.075533374,81.41166662,1.352040911,0.140818283,2.820844005,0.300433246,0.000659532,0.382338206,3.231525883,2860.653933,5828.13707,0.00913734,0.101488166,579.7112216,1.283768084,0.130306675,0.953867751,11.15903074,0.000348571,0.137952647,1.425612129,744.704187,4086.84028,0.002378692,0.071166124,395.7665838,1.320879864,-0.052164241,4.245923076,1.892104311,-9.06E-07,0.051695781,0.980419972,209.132869,2789.643613,0.000668,0.048577412,-57085.82854,1.450168514,epilepsy
1.30E-17,11.77596542,0.070967185,8.492527644,0.002230071,5.54476393,64.36447817,318450.6196,39333.24592,0.961071201,0.588545576,2486.362576,1.46015574,1.070209595,12.37213638,-0.00601119,0.626080858,8.126546584,4060.474537,4674.734371,0.012254349,0.069948314,-104.1525574,1.387232944,0.473191812,11.46405831,0.370986506,0.000720597,0.523239079,5.086586647,5669.70284,8359.440731,0.017110936,0.125082783,726.1184733,1.296230028,-0.026165148,2.080704815,8.341954188,-0.00129221,0.244451236,1.802510709,2474.701459,7764.42529,0.00746855,0.116179533,-189.1730579,1.303794446,-0.052899926,1.854672786,0.557647468,-8.94E-06,0.090084049,0.972604423,672.0712087,5381.674684,0.002028284,0.080526302,-10073.49715,1.38627678,epilepsy
6.44E-18,12.88292151,0.049726074,10.0128456,0.001096976,5.57142469,38.8687427,308421.1333,31001.32491,0.970572448,0.61284701,5078.891947,1.785655158,0.041454763,13.42081583,-0.004404926,0.611604321,8.011855552,3716.851415,3921.723668,0.011696584,0.077526255,-138.8455355,1.549548374,0.812401796,19.58307551,0.249034013,0.000270413,0.472970937,2.628751919,4443.831898,7256.048645,0.013984323,0.14344057,1749.068649,1.294860072,0.074364145,0.712637378,16.28962269,-0.00022913,0.156802268,1.040412664,976.6941424,4783.198986,0.003073565,0.094556255,-684.3375183,1.302227511,-0.08332981,1.256927187,1.180172823,1.23E-06,0.051127842,0.821742676,207.6658535,2933.03848,0.000653505,0.057981518,41452.78739,1.384808975,epilepsy
-2.51E-16,55.40784384,0.046817448,6.80542467,-0.000997139,5.540090143,72.72889092,727476.0002,58171.96311,0.959268631,0.568948667,-5555.987367,2.257293884,0.857600602,59.71607535,0.005466578,0.910836833,12.06968128,19664.45008,16087.27945,0.025930051,0.157341023,166.6192051,1.34197051,0.125072606,3.887261057,0.182406393,0.001588386,0.423281773,14.40451983,8492.298829,14101.14463,0.011198164,0.137915707,266.4853783,1.422771698,1.487521792,42.58233392,3.441591681,-1.90E-05,0.16674523,1.601872484,2635.53852,10767.52788,0.003475289,0.105311396,-8782.394349,1.46791172,-0.167669963,10.05104213,83.65958335,-1.85E-07,0.022530209,1.44326253,96.22920841,2775.60863,0.00012689,0.027146734,-121896.8449,1.538804575,epilepsy
6.32E-17,8.599372961,0.066383478,6.916483132,-0.000298766,5.44825945,43.15482048,289651.8967,30929.21206,0.928072479,0.571071037,-18235.84751,1.718896544,1.550767814,8.216899931,-0.002443158,1.291977829,8.570997344,16288.17733,7544.485174,0.052188884,0.139299927,-528.8147909,1.671037767,0.328591982,6.706782749,0.12228702,-0.004870631,0.484892218,3.774911326,4587.663068,6508.614462,0.014699313,0.120173809,-99.55428935,1.45349632,0.016233094,6.160958067,0.501610051,-0.00019243,0.178454808,2.689560237,1242.445907,4997.3195,0.003980916,0.092269548,-927.3756859,1.393194064,-0.166490544,10.2224491,25.31119736,1.65E-06,0.064107778,1.085297103,320.6512675,3372.563024,0.001027397,0.062270357,38756.11396,1.48307175,epilepsy
-4.28E-18,3.151426668,0.085213094,6.582353382,0.003741936,5.483083871,32.63046184,312337.21,41931.51118,0.939365708,0.547403927,1465.306525,1.35849524,0.957117985,3.558660346,0.009442865,0.811746269,5.543596286,6846.570971,6157.990943,0.020591315,0.080390817,85.96397924,1.369477817,0.186210422,2.562697241,0.396271296,-0.000530499,0.638891806,2.951751566,8478.777728,10414.06731,0.025500238,0.13595268,-1204.321376,1.274339815,0.058515243,0.312543095,17.79995348,-0.000901272,0.308704317,3.387537134,3958.441517,10125.20485,0.011905159,0.132181663,-342.5208403,1.266409065,0.033275282,0.816339022,0.588612149,5.53E-06,0.101425266,1.282201992,854.5172628,6508.321534,0.002569992,0.084964283,18356.64737,1.294510812,epilepsy
5.80E-17,6.430282525,0.07217999,7.928729221,0.004352576,5.558710901,29.18258003,356021.5712,44622.21754,0.965064851,0.594435363,1277.108353,1.435326851,-0.844521417,6.832414314,0.004996725,0.492467148,6.651087775,2794.647959,4233.525511,0.00757543,0.056396957,98.55798521,1.340302891,0.10806742,6.496568583,0.87108572,-0.000182099,0.49993403,2.991975279,5757.731116,8982.721149,0.015607436,0.119663419,-2745.404136,1.282125991,0.088034191,0.605913995,27.43967933,-0.000204834,0.28035014,2.771169823,3620.771728,10005.29833,0.009814797,0.133285692,-1368.670252,1.290833101,-0.114012802,2.564895939,0.889005538,-1.20E-06,0.086962014,2.107456338,696.7231667,5947.234953,0.001888602,0.079226156,-72457.37656,1.347148789,epilepsy
-1.06E-17,2.961846894,0.103528136,4.642152278,-0.002615522,5.338612736,31.29207013,268477.4681,36169.56702,0.890900938,0.473682983,-2041.127254,1.390388001,-0.118424588,3.718332978,-0.021200502,0.989449052,6.545966102,9226.502723,7232.641597,0.030616722,0.094719941,-46.67102085,1.288686844,-0.088266596,0.768440731,0.123370749,-0.005747672,0.95467268,4.683058975,17165.92841,14251.31596,0.056962477,0.186637729,-166.0972764,1.261659296,0.036395819,0.188650098,3.688537074,0.001689912,0.389961899,1.743701785,5727.378531,11576.77166,0.01900542,0.151611429,230.7586339,1.268639087,-0.056175826,0.34430088,3.40116551,2.21E-07,0.099146876,1.727103498,740.3738675,5869.669219,0.002456816,0.076870216,448685.7323,1.272208871,epilepsy
-1.73E-17,7.980871218,0.143670459,4.303897215,-0.001771768,5.259057406,51.7531389,311978.72,38595.35769,0.864629527,0.394593465,-2968.25377,1.537028573,0.395917376,9.650024068,0.00786373,0.983717978,8.455553545,10916.3655,8467.434831,0.030254025,0.086569853,125.0955942,1.310472299,0.074841902,2.01297586,0.22530887,-0.002421677,1.004094813,4.774686346,22738.21105,17801.35069,0.063017531,0.181998485,-414.6279675,1.272114162,0.018255647,0.308534876,3.24722561,0.001548174,0.516414073,9.588950624,12027.26703,17850.78033,0.033332819,0.182503847,333.563415,1.304691327,0.210631603,9.845499366,1.564215097,-1.91E-05,0.184151801,5.063628476,3058.580837,12061.01594,0.008476666,0.123310117,-9633.254492,1.377082936,epilepsy
